01:28:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 52] Logger initialized
01:29:04: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:04: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (1.8181818181818181, 5.454545454545454, 0.18181818181818182) m/s
01:29:04: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW 45.00
01:29:05: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:05: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (3.3333333333333335, 5.0, 0.16666666666666666) m/s
01:29:05: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW 63.43
01:29:05: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:05: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (4.615384615384615, 4.615384615384615, 0.15384615384615385) m/s
01:29:05: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW 90.00
01:29:06: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:06: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (4.285714285714286, 2.857142857142857, 0.14285714285714285) m/s
01:29:06: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW 26.57
01:29:06: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:06: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (4.0, 1.3333333333333333, 0.13333333333333333) m/s
01:29:06: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW 45.00
01:29:07: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:07: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (3.75, 0.0, 0.125) m/s
01:29:07: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW 90.00
01:29:07: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:07: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (2.3529411764705883, 0.0, 0.11764705882352941) m/s
01:29:07: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW 45.00
01:29:08: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:08: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (1.1111111111111112, 0.0, 0.1111111111111111) m/s
01:29:08: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW 90.00
01:29:08: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:08: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 0.10526315789473684) m/s
01:29:08: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW 135.00
01:29:09: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:09: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 1.0, 0.1) m/s
01:29:09: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW -26.57
01:29:09: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:09: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 1.9047619047619047, 0.09523809523809523) m/s
01:29:09: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW -45.00
01:29:10: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:10: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 2.727272727272727, 0.09090909090909091) m/s
01:29:10: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW -90.00
01:29:10: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:10: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043) m/s
01:29:10: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW -45.00
01:29:11: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:11: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (1.6666666666666667, 2.5, 0.08333333333333333) m/s
01:29:11: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW -90.00
01:29:11: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:11: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (2.4, 2.4, 0.08) m/s
01:29:11: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW -135.00
01:29:12: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:12: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693) m/s
01:29:12: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW -63.43
01:29:12: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:12: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407) m/s
01:29:12: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW -90.00
01:29:13: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:13: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (2.142857142857143, 0.0, 0.07142857142857142) m/s
01:29:13: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW -116.57
01:29:13: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:13: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (1.3793103448275863, 0.0, 0.06896551724137931) m/s
01:29:13: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW -45.00
01:29:14: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:14: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.6666666666666666, 0.0, 0.06666666666666667) m/s
01:29:14: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW -63.43
01:29:14: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 66] Received telemetry data
01:29:14: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 88] Average velocity: (0.0, 0.0, 0.06451612903225806) m/s
01:29:14: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 142] CHANGING_YAW -90.00
